indicator,direction,entry_time,exit_time,entry,stop,target,exit_price,outcome,r
Big Shadow,short,2026-02-04T16:00:00+00:00,2026-02-04T20:00:00+00:00,156.453000,156.769121,155.820757,156.769121,loss,-1.000
Big Shadow,short,2026-02-10T05:00:00+00:00,2026-02-10T16:00:00+00:00,155.357000,155.842790,154.385421,154.385421,win,2.000
Big Shadow,long,2026-02-12T07:00:00+00:00,2026-02-12T09:00:00+00:00,152.854000,152.405583,153.750834,152.854000,be,0.000
Big Shadow,short,2026-02-17T11:00:00+00:00,2026-02-17T15:00:00+00:00,152.715000,153.184724,151.775552,153.184724,loss,-1.000
Big Shadow,long,2026-02-18T16:00:00+00:00,2026-02-18T20:00:00+00:00,153.942000,153.598555,154.628890,154.628890,win,2.000
Big Shadow,long,2026-02-20T10:00:00+00:00,2026-02-20T17:00:00+00:00,155.502000,154.928733,156.648535,154.928733,loss,-1.000
Wammie/Moolah,short,2020-10-27T14:00:00+00:00,2020-10-29T12:00:00+00:00,104.609000,104.890061,104.046878,104.046878,win,2.000
Wammie/Moolah,long,2021-06-30T09:00:00+00:00,2021-06-30T11:00:00+00:00,110.510000,110.424083,110.681835,110.424083,loss,-1.000
Wammie/Moolah,long,2022-03-16T17:00:00+00:00,2022-03-16T20:00:00+00:00,118.411000,118.163974,118.905052,118.905052,win,2.000
Wammie/Moolah,long,2022-06-28T08:00:00+00:00,2022-06-28T13:00:00+00:00,135.345000,134.996532,136.041937,136.041937,win,2.000
Wammie/Moolah,long,2023-07-24T09:00:00+00:00,2023-07-24T12:00:00+00:00,141.569000,141.201837,142.303326,141.201837,loss,-1.000
Wammie/Moolah,long,2023-10-25T09:00:00+00:00,2023-10-25T20:00:00+00:00,149.863000,149.736993,150.115014,149.863000,be,0.000
Wammie/Moolah,long,2024-02-19T15:00:00+00:00,2024-02-20T04:00:00+00:00,150.022000,149.862426,150.341148,150.341148,win,2.000
Wammie/Moolah,long,2024-04-18T13:00:00+00:00,2024-04-19T05:00:00+00:00,154.421000,153.941793,155.379414,153.941793,loss,-1.000
Wammie/Moolah,short,2025-04-15T14:00:00+00:00,2025-04-16T11:00:00+00:00,142.829000,143.603503,141.279994,142.829000,be,0.000
Wammie/Moolah,short,2025-08-29T11:00:00+00:00,2025-08-29T13:00:00+00:00,146.892000,147.234119,146.207762,147.234119,loss,-1.000
Wammie/Moolah,long,2026-02-06T11:00:00+00:00,2026-02-09T00:00:00+00:00,156.987000,156.494177,157.972647,156.987000,be,0.000
